SKU,manufacturer,Peak Torque,Rated Torque,Rated Speed,Max Speed,motor weight,motor cost,shipping?,other costs,other weight,,total weight,total cost,torque density,torque density per dollar,power at nominal speed,continuous power density
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
